input_byte,total_time_ns
0,42
1,0
2,42
3,0
4,0
5,41
6,0
7,41
8,41
9,41
10,0
11,0
12,0
13,0
14,0
15,41
16,41
17,41
18,0
19,0
20,42
21,0
22,0
23,42
24,0
25,0
26,41
27,41
28,0
29,0
30,42
31,0
32,0
33,42
34,0
35,0
36,41
37,0
38,0
39,42
40,0
41,0
42,42
43,0
44,0
45,41
46,0
47,0
48,42
49,0
50,0
51,42
52,0
53,0
54,41
55,0
56,0
57,42
58,0
59,0
60,42
61,0
62,0
63,41
64,0
65,0
66,42
67,0
68,0
69,42
70,0
71,0
72,41
73,0
74,0
75,42
76,0
77,0
78,42
79,0
80,0
81,41
82,0
83,0
84,42
85,0
86,0
87,42
88,0
89,0
90,41
91,0
92,0
93,42
94,0
95,0
96,42
97,0
98,0
99,41
100,0
101,0
102,0
103,0
104,42
105,0
106,42
107,42
108,42
109,0
110,0
111,41
112,41
113,41
114,0
115,0
116,42
117,42
118,42
119,0
120,0
121,42
122,42
123,0
124,0
125,0
126,42
127,42
128,0
129,0
130,0
131,41
132,0
133,0
134,42
135,42
136,0
137,0
138,42
139,42
140,0
141,0
142,41
143,41
144,0
145,0
146,42
147,42
148,0
149,0
150,42
151,42
152,42
153,0
154,0
155,41
156,41
157,0
158,0
159,42
160,42
161,0
162,0
163,42
164,42
165,0
166,0
167,41
168,41
169,0
170,0
171,42
172,42
173,0
174,0
175,42
176,42
177,42
178,0
179,0
180,41
181,41
182,41
183,0
184,0
185,42
186,42
187,0
188,0
189,0
190,42
191,42
192,0
193,0
194,41
195,41
196,41
197,0
198,0
199,0
200,42
201,0
202,0
203,42
204,42
205,0
206,0
207,41
208,41
209,0
210,0
211,42
212,42
213,42
214,0
215,0
216,42
217,42
218,42
219,0
220,0
221,41
222,41
223,0
224,0
225,0
226,42
227,42
228,0
229,0
230,42
231,42
232,42
233,0
234,0
235,0
236,41
237,0
238,0
239,42
240,42
241,0
242,0
243,42
244,42
245,0
246,0
247,42
248,42
249,0
250,0
251,42
252,42
253,42
254,0
255,0
